year,Entity,depression_pct
1954,Lesotho,
1955,Lesotho,
1955,Lesotho,
1956,Lesotho,
1956,Lesotho,
1957,Lesotho,
1957,Lesotho,
1958,Lesotho,
1958,Lesotho,
1959,Lesotho,
1959,Lesotho,
1960,Lesotho,
1960,Lesotho,
1961,Lesotho,
1961,Lesotho,
1962,Lesotho,
1962,Lesotho,
1963,Lesotho,
1963,Lesotho,
1964,Lesotho,
1964,Lesotho,
1965,Lesotho,
1965,Lesotho,
1966,Lesotho,
1966,Lesotho,
1967,Lesotho,
1967,Lesotho,
1968,Lesotho,
1968,Lesotho,
1969,Lesotho,
1969,Lesotho,
1970,Lesotho,
1970,Lesotho,
1971,Lesotho,
1971,Lesotho,
1972,Lesotho,
1972,Lesotho,
1973,Lesotho,
1973,Lesotho,
1974,Lesotho,
1974,Lesotho,
1975,Lesotho,
1975,Lesotho,
1976,Lesotho,
1976,Lesotho,
1977,Lesotho,
1977,Lesotho,
1978,Lesotho,
1978,Lesotho,
1979,Lesotho,
1979,Lesotho,
1980,Lesotho,
1980,Lesotho,
1981,Lesotho,
1981,Lesotho,
1982,Lesotho,
1982,Lesotho,
1983,Lesotho,
1983,Lesotho,
1984,Lesotho,
1984,Lesotho,
1985,Lesotho,
1985,Lesotho,
1986,Lesotho,
1986,Lesotho,
1987,Lesotho,
1987,Lesotho,
1988,Lesotho,
1988,Lesotho,
1989,Lesotho,
1989,Lesotho,
1990,Lesotho,5.268593
1990,Lesotho,
1990,Lesotho,
1990,Lesotho,
1991,Lesotho,5.237179
1991,Lesotho,
1991,Lesotho,
1991,Lesotho,
1992,Lesotho,5.211806
1992,Lesotho,
1992,Lesotho,
1992,Lesotho,
1993,Lesotho,5.192722
1993,Lesotho,
1993,Lesotho,
1993,Lesotho,
1994,Lesotho,5.184715
1994,Lesotho,
1994,Lesotho,
1994,Lesotho,
1995,Lesotho,5.189638
1995,Lesotho,
1995,Lesotho,
1995,Lesotho,
1996,Lesotho,5.205749
1996,Lesotho,
1996,Lesotho,
1996,Lesotho,
1997,Lesotho,5.23404
1997,Lesotho,
1997,Lesotho,
1997,Lesotho,
1998,Lesotho,5.265851
1998,Lesotho,
1998,Lesotho,
1998,Lesotho,
1999,Lesotho,5.298026
1999,Lesotho,
1999,Lesotho,
1999,Lesotho,
2000,Lesotho,5.32702
2000,Lesotho,
2000,Lesotho,
2000,Lesotho,
2001,Lesotho,5.353524
2001,Lesotho,
2001,Lesotho,
2001,Lesotho,
2002,Lesotho,5.382628
2002,Lesotho,
2002,Lesotho,
2002,Lesotho,
2003,Lesotho,5.412972
2003,Lesotho,
2003,Lesotho,
2003,Lesotho,
2004,Lesotho,5.443641
2004,Lesotho,
2004,Lesotho,
2004,Lesotho,
2005,Lesotho,5.472301
2005,Lesotho,
2005,Lesotho,
2005,Lesotho,
2006,Lesotho,5.502849
2006,Lesotho,
2006,Lesotho,
2006,Lesotho,
2007,Lesotho,5.534674
2007,Lesotho,
2007,Lesotho,
2007,Lesotho,
2008,Lesotho,5.568149
2008,Lesotho,
2008,Lesotho,
2008,Lesotho,
2009,Lesotho,5.591766
2009,Lesotho,
2009,Lesotho,
2009,Lesotho,
2010,Lesotho,5.606717
2010,Lesotho,
2010,Lesotho,
2010,Lesotho,
2011,Lesotho,5.610888
2011,Lesotho,
2011,Lesotho,
2011,Lesotho,
2012,Lesotho,5.618396
2012,Lesotho,
2012,Lesotho,
2012,Lesotho,
2013,Lesotho,5.622644
2013,Lesotho,
2013,Lesotho,
2013,Lesotho,
2014,Lesotho,5.626747
